Motherboard Make and Model, SuperMicro X11DPT-PS
Motherboard Datasheet,https://www.supermicro.com/en/products/motherboard/x11dpt-ps
Number Of CPUs,2
CPU Make and Model,Intel® Xeon® Silver 4110
CPU Datasheet,https://www.intel.com/content/www/us/en/products/sku/123547/intel-xeon-silver-4110-processor-11m-cache-2-10-ghz/specifications.html
Number Of GPUs,0
Total Local Storage,240 GB
Number of Storage Devices,1
Storage Device Datasheet,https://www.mouser.com/datasheet/2/1471/dc_d3_s4510_s4610_series_brief-3131895.pdf
Total Memory,192 GB
RAM Make and Model,Samsung M393A2K43CB2-CTD
RAM Datasheet,https://semiconductor.samsung.com/dram/module/rdimm/m393a2k43cb2-ctd/
