Motherboard Make and Model,SuperMicro X11DPI-NT
Motherboard Datasheet,https://www.supermicro.com/en/products/motherboard/X11DPi-NT
Number Of CPUs,2
CPU Make and Model,Intel® Xeon ® Gold 6448Y
CPU Datasheet,https://www.intel.com/content/www/us/en/products/sku/232384/intel-xeon-gold-6448y-processor-60m-cache-2-10-ghz/specifications.html
Number Of GPUs,0
Total Storage,240 GB
Number of Storage Devices,1
Storage Device Datasheet,https://www.mouser.com/datasheet/2/1471/dc_d3_s4510_s4610_series_brief-3131895.pdf
Total Memory,192 GB
RAM Make and Model,Samsung M393A2K40CB2-CTD
RAM Datasheet,https://semiconductor.samsung.com/dram/module/rdimm/m393a2k40cb2-ctd/
